registry,name,gender,birth_date,email,class_group_id,father_name,father_phone,mother_name,mother_phone
202500019,José Campos Santana,M,07/05/2019,jose.santana202500019@escola.edu.br,1A_EF1,Kaique Guimarães Rocha,(41) 95351-7484,Manuela Cavalcante Borges,(51) 98491-6180
202500020,Juliana Silva Freitas,F,18/02/2018,juliana.freitas202500020@escola.edu.br,1A_EF1,Carlos Gonçalves Sousa,(31) 96718-2127,Sabrina Andrade Vieira,(31) 98179-9900
202500021,Bárbara Farias Borges,F,27/11/2018,barbara.borges202500021@escola.edu.br,1A_EF1,Luiz Barbosa Cavalcante,(21) 93200-5333,Lívia Alves Duarte,(85) 93546-5462
202500022,Carlos Guimarães Dias,M,21/11/2018,carlos.dias202500022@escola.edu.br,1B_EF1,Thiago Gonçalves Ramos,(51) 91832-2512,Helena Machado Fernandes,(11) 91058-6464
202500023,Helena Sousa Costa,F,23/09/2019,helena.costa202500023@escola.edu.br,1B_EF1,Vitor Castro Silva,(21) 92232-3442,Sandra Oliveira Andrade,(92) 93426-8041
202500024,Diego Andrade Rezende,M,07/06/2018,diego.rezende202500024@escola.edu.br,1B_EF1,Cauã Lopes Cavalcante,(21) 96794-7658,Bárbara Duarte Gomes,(41) 93662-3900
202500025,Beatriz Ribeiro Duarte,F,26/07/2019,beatriz.duarte202500025@escola.edu.br,1B_EF1,Kaique Duarte Farias,(41) 95371-3608,Giovanna Alves Moreira,(65) 91634-8711
202500026,Renato Nascimento Barbosa,M,01/04/2018,renato.barbosa202500026@escola.edu.br,1B_EF1,Kaique Martins Nunes,(61) 95564-2137,Nathalia Fernandes Nascimento,(62) 99346-7548
202500027,Sandra Dias Santos,F,06/05/2018,sandra.santos202500027@escola.edu.br,1B_EF1,José Sousa Oliveira,(21) 98119-6663,Rebeca Rezende Rocha,(71) 99379-2894
202500028,Antônio Martins Sousa,M,14/12/2018,antonio.sousa202500028@escola.edu.br,1B_EF1,João Santana Farias,(85) 94228-6967,Isabela Rodrigues Cavalcante,(61) 96143-3041
202500029,Yasmin Gonçalves Barbosa,F,13/06/2019,yasmin.barbosa202500029@escola.edu.br,1B_EF1,Enzo Vieira Castro,(31) 94143-7888,Isadora Moreira Cunha,(47) 93851-5930
202500030,João Barbosa Vieira,M,26/07/2018,joao.vieira202500030@escola.edu.br,1B_EF1,José Pinto Borges,(61) 98618-8238,Joana Cunha Carvalho,(85) 98752-3780
202500031,Vitória Gonçalves Cavalcante,F,27/02/2019,vitoria.cavalcante202500031@escola.edu.br,1B_EF1,Yago Lopes Cunha,(51) 94680-4262,Mariana Santos Oliveira,(41) 98784-2193
202500032,Roberto Campos Martins,M,13/08/2019,roberto.martins202500032@escola.edu.br,1B_EF1,Paulo Gomes Borges,(47) 91090-2746,Nathalia Machado Almeida,(31) 99486-8611
202500033,Paulo Pereira Freitas,M,22/08/2018,paulo.freitas202500033@escola.edu.br,1B_EF1,Tiago Castro Pinto,(61) 98251-9270,Isabela Castro Mendes,(31) 98777-8373
202500034,Paulo Correia Fernandes,M,08/11/2019,paulo.fernandes202500034@escola.edu.br,1B_EF1,Leonardo Mendes Rodrigues,(47) 95681-4841,Vanessa Dias Rocha,(85) 92320-3267
202500035,Marcelo Monteiro Gomes,M,14/02/2018,marcelo.gomes202500035@escola.edu.br,1B_EF1,Igor Dias Teixeira,(81) 97812-2020,Rafaela Marques Moreira,(48) 91320-7232
202500036,Ricardo Barbosa Melo,M,18/07/2019,ricardo.melo202500036@escola.edu.br,1B_EF1,Nicolás Duarte Teixeira,(48) 94613-8999,Raquel Fernandes Machado,(81) 91475-7371
202500037,Cauã Farias Nunes,M,05/08/2018,caua.nunes202500037@escola.edu.br,1B_EF1,Jorge Teixeira Santos,(71) 91444-2375,Valentina Machado Lima,(65) 98564-3977
202500038,Marcelo Rocha Carvalho,M,11/06/2019,marcelo.carvalho202500038@escola.edu.br,1B_EF1,Yago Moreira Fernandes,(48) 97906-5133,Larissa Cardoso Santos,(47) 99837-1853
202500039,Carolina Almeida Borges,F,02/11/2018,carolina.borges202500039@escola.edu.br,1B_EF1,Yago Santos Lopes,(41) 91333-3496,Sabrina Lima Cardoso,(62) 92874-4571
202500040,Thiago Brito Andrade,M,20/10/2018,thiago.andrade202500040@escola.edu.br,1B_EF1,Nicolás Guimarães Pereira,(48) 93683-6096,Letícia Araújo Santos,(51) 97149-7498
202500041,Priscila Rodrigues Araújo,F,23/02/2018,priscila.araujo202500041@escola.edu.br,1B_EF1,Samuel Barbosa Cunha,(92) 92983-1672,Carolina Teixeira Machado,(62) 97071-2129
202500042,Bruna Silva Marques,F,14/02/2019,bruna.marques202500042@escola.edu.br,1B_EF1,Alexandre Correia Freitas,(47) 93506-8135,Paula Azevedo Santana,(62) 95425-9817
202500043,Laura Machado Xavier,F,28/06/2018,laura.xavier202500043@escola.edu.br,2A_EF1,Paulo Ferreira Fernandes,(81) 94995-8613,Thaís Moura Cavalcante,(71) 96511-1470
202500044,Victor Ribeiro Ramos,M,26/06/2017,victor.ramos202500044@escola.edu.br,2A_EF1,Thiago Dias Fernandes,(92) 95526-1166,Renata Martins Ferreira,(41) 97658-9004
202500045,Sabrina Monteiro Cardoso,F,26/08/2018,sabrina.cardoso202500045@escola.edu.br,2A_EF1,Pedro Ferreira Vieira,(41) 97625-4986,Yasmin Cavalcante Araújo,(61) 98753-9698
202500046,Nicolás Castro Dias,M,15/12/2018,nicolas.dias202500046@escola.edu.br,2A_EF1,Leonardo Barbosa Sousa,(41) 92976-4155,Amanda Pereira Duarte,(85) 94033-4138
202500047,Sérgio Fernandes Azevedo,M,27/02/2018,sergio.azevedo202500047@escola.edu.br,2A_EF1,André Vieira Almeida,(61) 93939-5952,Ana Guimarães Teixeira,(31) 95494-1745
202500048,Tatiana Vieira Monteiro,F,28/11/2017,tatiana.monteiro202500048@escola.edu.br,2A_EF1,Yago Ramos Alves,(65) 91200-5658,Luana Cardoso Mendes,(61) 94020-1841
202500049,Sérgio Pereira Xavier,M,16/07/2017,sergio.xavier202500049@escola.edu.br,2A_EF1,Matheus Campos Correia,(62) 91878-3485,Mariana Farias Campos,(51) 92395-5066
202500050,Yago Marques Pinto,M,13/09/2017,yago.pinto202500050@escola.edu.br,2A_EF1,Leandro Mendes Barbosa,(65) 98025-6003,Thaís Moura Souza,(92) 92625-4404
202500051,Sofia Cavalcante Ferreira,F,06/04/2017,sofia.ferreira202500051@escola.edu.br,2A_EF1,Luiz Rodrigues Costa,(11) 97693-8381,Giovanna Pinto Cardoso,(51) 91534-4792
202500052,Fernando Monteiro Freitas,M,08/11/2017,fernando.freitas202500052@escola.edu.br,2A_EF1,Thiago Rezende Rezende,(62) 94241-7965,Lívia Teixeira Almeida,(62) 93441-5352
202500053,Juliana Souza Costa,F,24/10/2018,juliana.costa202500053@escola.edu.br,2A_EF1,Antônio Vieira Mendes,(21) 98679-5982,Giovanna Nunes Fernandes,(85) 99847-9090
202500054,Francisco Oliveira Machado,M,09/10/2018,francisco.machado202500054@escola.edu.br,2A_EF1,Pedro Ferreira Almeida,(62) 91339-5415,Thaís Oliveira Melo,(48) 93870-8708
202500055,Joana Fernandes Ribeiro,F,27/11/2018,joana.ribeiro202500055@escola.edu.br,2A_EF1,Fábio Ferreira Cardoso,(61) 97690-6460,Amanda Cavalcante Alves,(65) 93634-6403
202500056,Fábio Vieira Cavalcante,M,02/09/2018,fabio.cavalcante202500056@escola.edu.br,2A_EF1,Renato Ferreira Rocha,(51) 96296-2899,Nathalia Nunes Gonçalves,(65) 91018-9889
202500057,Gabriel Martins Santana,M,25/10/2018,gabriel.santana202500057@escola.edu.br,2A_EF1,Fábio Correia Mendes,(48) 91845-4335,Vanessa Castro Lima,(51) 98178-8941
202500058,Roberto Pinto Farias,M,06/12/2017,roberto.farias202500058@escola.edu.br,2A_EF1,Diego Castro Silva,(85) 97684-2527,Raquel Pereira Freitas,(21) 93522-9165
202500059,Vitória Gonçalves Guimarães,F,27/07/2018,vitoria.guimaraes202500059@escola.edu.br,2A_EF1,Sérgio Cardoso Lopes,(81) 93369-7284,Priscila Pinto Gonçalves,(47) 93236-2143
202500060,Igor Dias Rezende,M,10/01/2018,igor.rezende202500060@escola.edu.br,2A_EF1,Murilo Barbosa Araújo,(92) 99022-3434,Joana Teixeira Cardoso,(61) 96446-9903
202500061,Victor Martins Monteiro,M,13/10/2017,victor.monteiro202500061@escola.edu.br,2A_EF1,Marcos Brito Marques,(11) 96213-8749,Eduarda Farias Moreira,(71) 93492-9115
202500062,Manuela Gonçalves Araújo,F,28/02/2018,manuela.araujo202500062@escola.edu.br,2A_EF1,Leandro Alves Santana,(81) 91251-3361,Gabriela Borges Gomes,(21) 98692-5342
202500063,Enzo Nunes Borges,M,28/06/2017,enzo.borges202500063@escola.edu.br,2A_EF1,Cauã Teixeira Moreira,(61) 98994-9864,Camila Moura Rodrigues,(41) 95708-4727
202500064,Isabela Alves Melo,F,06/08/2017,isabela.melo202500064@escola.edu.br,2B_EF1,Enzo Barbosa Santos,(11) 96314-1919,Vitória Nascimento Andrade,(71) 93385-5000
202500065,Thaís Cunha Rezende,F,06/03/2017,thais.rezende202500065@escola.edu.br,2B_EF1,Felipe Moura Moreira,(92) 94945-9153,Viviane Gomes Almeida,(81) 95161-8529
202500066,João Farias Freitas,M,18/11/2018,joao.freitas202500066@escola.edu.br,2B_EF1,Daniel Rodrigues Mendes,(61) 95901-7951,Giovanna Sousa Freitas,(65) 95949-4263
202500067,Luana Alves Lopes,F,12/10/2018,luana.lopes202500067@escola.edu.br,2B_EF1,Antônio Vieira Monteiro,(51) 91359-7484,Vanessa Silva Campos,(65) 91803-9138
202500068,Vitória Brito Farias,F,26/10/2017,vitoria.farias202500068@escola.edu.br,2B_EF1,Ricardo Almeida Correia,(41) 95106-3240,Helena Alves Correia,(62) 91645-6061
202500069,Camila Araújo Andrade,F,10/02/2017,camila.andrade202500069@escola.edu.br,2B_EF1,Victor Duarte Marques,(31) 94289-3165,Sandra Andrade Santana,(85) 95465-3695
202500070,Sérgio Farias Vieira,M,15/02/2018,sergio.vieira202500070@escola.edu.br,2B_EF1,Matheus Gomes Melo,(41) 97511-6992,Larissa Rezende Nunes,(11) 95332-9791
202500071,Alexandre Cunha Duarte,M,13/10/2018,alexandre.duarte202500071@escola.edu.br,2B_EF1,Roberto Andrade Alves,(62) 94830-8724,Beatriz Moura Castro,(61) 94626-2035
202500072,Laura Monteiro Barbosa,F,05/02/2018,laura.barbosa202500072@escola.edu.br,2B_EF1,Lucas Oliveira Barbosa,(81) 92902-2592,Sabrina Teixeira Lima,(71) 98432-7078
202500073,Clarice Monteiro Teixeira,F,24/10/2018,clarice.teixeira202500073@escola.edu.br,2B_EF1,Murilo Gomes Marques,(62) 92622-9017,Bárbara Marques Fernandes,(11) 97070-4559
202500074,Paulo Andrade Alves,M,21/09/2018,paulo.alves202500074@escola.edu.br,2B_EF1,Ricardo Souza Nunes,(51) 94109-3001,Laura Ferreira Cavalcante,(41) 91349-1828
202500075,Sabrina Lima Rezende,F,27/02/2017,sabrina.rezende202500075@escola.edu.br,2B_EF1,Yago Castro Carvalho,(92) 94538-4817,Bruna Brito Gomes,(48) 91046-5542
202500076,Mariana Lima Teixeira,F,04/03/2018,mariana.teixeira202500076@escola.edu.br,2B_EF1,Kaique Santos Lima,(11) 96869-4898,Viviane Rocha Santos,(31) 95347-1858
202500077,Igor Santana Pereira,M,15/08/2017,igor.pereira202500077@escola.edu.br,2B_EF1,Samuel Andrade Gonçalves,(92) 92786-8405,Patrícia Almeida Moura,(11) 99543-5941
202500078,Pedro Souza Cardoso,M,22/07/2018,pedro.cardoso202500078@escola.edu.br,2B_EF1,Rafael Ramos Guimarães,(81) 92204-2323,Amanda Pinto Gomes,(21) 93067-5505
202500079,Viviane Castro Guimarães,F,20/07/2018,viviane.guimaraes202500079@escola.edu.br,2B_EF1,Tiago Vieira Freitas,(85) 98048-2624,Giovanna Pereira Borges,(62) 94522-8046
202500080,Marcos Marques Dias,M,14/07/2018,marcos.dias202500080@escola.edu.br,2B_EF1,Murilo Alves Rocha,(71) 96120-5176,Daniela Gomes Cunha,(81) 92099-2494
202500081,Larissa Machado Alves,F,18/03/2018,larissa.alves202500081@escola.edu.br,2B_EF1,Gabriel Araújo Castro,(85) 96400-3002,Gabriela Nascimento Cavalcante,(48) 97929-1842
202500082,Aline Barbosa Nascimento,F,17/10/2017,aline.nascimento202500082@escola.edu.br,2B_EF1,Carlos Gomes Cavalcante,(81) 94674-2773,Carolina Castro Andrade,(21) 95564-4705
202500083,Tatiana Brito Xavier,F,22/10/2017,tatiana.xavier202500083@escola.edu.br,2B_EF1,Enzo Fernandes Santos,(31) 95477-6062,Bruna Nascimento Silva,(31) 93347-7566
202500084,Nicolás Correia Santos,M,17/12/2017,nicolas.santos202500084@escola.edu.br,2B_EF1,Carlos Moreira Marques,(81) 96585-3578,Daniela Barbosa Azevedo,(61) 92391-1861
202500085,Yago Moura Souza,M,15/05/2016,yago.souza202500085@escola.edu.br,3A_EF1,Kaique Machado Ramos,(92) 98242-7785,Vanessa Carvalho Melo,(85) 92864-6655
202500086,Fernando Cunha Cunha,M,22/09/2017,fernando.cunha202500086@escola.edu.br,3A_EF1,Diego Oliveira Almeida,(71) 91897-1125,Rafaela Barbosa Carvalho,(48) 93248-5186
202500087,Bruno Silva Ramos,M,05/03/2017,bruno.ramos202500087@escola.edu.br,3A_EF1,Marcelo Teixeira Guimarães,(41) 99196-6802,Juliana Nunes Duarte,(11) 98147-1307
202500088,Matheus Rocha Campos,M,13/10/2017,matheus.campos202500088@escola.edu.br,3A_EF1,Davi Correia Marques,(51) 92887-7636,Beatriz Rocha Costa,(48) 98538-6928
202500089,Rafael Lopes Machado,M,03/09/2017,rafael.machado202500089@escola.edu.br,3A_EF1,Caio Barbosa Duarte,(61) 94630-6456,Nathalia Costa Rodrigues,(85) 92868-9693
202500090,Nathalia Nascimento Nascimento,F,04/04/2016,nathalia.nascimento202500090@escola.edu.br,3A_EF1,Rodrigo Sousa Martins,(31) 93504-2234,Paula Brito Correia,(81) 98601-8354
202500091,Thaís Borges Correia,F,11/11/2017,thais.correia202500091@escola.edu.br,3A_EF1,Rodrigo Mendes Rodrigues,(81) 98245-5961,Vanessa Araújo Souza,(61) 99312-2215
202500092,Leandro Oliveira Souza,M,03/05/2017,leandro.souza202500092@escola.edu.br,3A_EF1,Ruan Ferreira Moura,(92) 99307-7299,Laura Araújo Castro,(48) 91672-8368
202500093,Thaís Borges Martins,F,16/10/2017,thais.martins202500093@escola.edu.br,3A_EF1,Danilo Gomes Souza,(81) 92695-6626,Eduarda Ferreira Gonçalves,(62) 93827-1641
202500094,Leandro Mendes Santana,M,12/06/2016,leandro.santana202500094@escola.edu.br,3A_EF1,Fernando Moreira Marques,(48) 96543-1857,Helena Borges Dias,(21) 96401-2548
202500095,Débora Vieira Sousa,F,03/06/2016,debora.sousa202500095@escola.edu.br,3A_EF1,José Cavalcante Gomes,(61) 96082-7421,Manuela Pinto Guimarães,(21) 96072-7171
202500096,Bruna Xavier Lima,F,22/11/2016,bruna.lima202500096@escola.edu.br,3A_EF1,Vitor Gonçalves Andrade,(11) 96940-6060,Paula Carvalho Dias,(48) 98967-4145
202500097,Gustavo Gomes Rodrigues,M,17/02/2017,gustavo.rodrigues202500097@escola.edu.br,3A_EF1,Samuel Teixeira Duarte,(85) 91618-6517,Nathalia Moura Lima,(92) 97172-3527
202500098,Enzo Brito Moura,M,15/12/2016,enzo.moura202500098@escola.edu.br,3A_EF1,Lucas Marques Andrade,(62) 94891-8277,Bárbara Vieira Melo,(47) 98355-4833
202500099,Yasmin Farias Rezende,F,12/04/2017,yasmin.rezende202500099@escola.edu.br,3A_EF1,Cauã Campos Mendes,(81) 95616-7256,Patrícia Santana Marques,(31) 94271-3267
202500100,Fernanda Borges Cardoso,F,04/09/2017,fernanda.cardoso202500100@escola.edu.br,3A_EF1,Davi Santana Pereira,(51) 92374-3626,Vanessa Mendes Gonçalves,(31) 98167-2502
202500101,Raquel Xavier Mendes,F,14/01/2017,raquel.mendes202500101@escola.edu.br,3A_EF1,Gabriel Nunes Gonçalves,(61) 94862-7326,Larissa Andrade Almeida,(11) 96221-2623
202500102,Valentina Dias Rezende,F,02/03/2016,valentina.rezende202500102@escola.edu.br,3A_EF1,Fernando Cardoso Monteiro,(65) 93273-8685,Joana Moura Silva,(21) 91311-5193
202500103,Rodrigo Castro Azevedo,M,25/02/2017,rodrigo.azevedo202500103@escola.edu.br,3A_EF1,Fernando Lopes Barbosa,(21) 91782-4906,Gabriela Correia Rezende,(92) 98489-2029
202500104,Fábio Pinto Teixeira,M,17/11/2016,fabio.teixeira202500104@escola.edu.br,3A_EF1,Antônio Lopes Guimarães,(31) 95772-8032,Ana Moura Nascimento,(41) 97825-4068
202500105,Larissa Santana Andrade,F,18/09/2016,larissa.andrade202500105@escola.edu.br,3A_EF1,Danilo Rezende Gonçalves,(85) 91333-7397,Luana Oliveira Correia,(71) 97116-5155
202500106,Carolina Rezende Rodrigues,F,24/04/2017,carolina.rodrigues202500106@escola.edu.br,3B_EF1,Kaique Correia Alves,(48) 96447-3185,Camila Nascimento Teixeira,(61) 93868-8612
202500107,Luana Correia Ribeiro,F,23/02/2016,luana.ribeiro202500107@escola.edu.br,3B_EF1,Samuel Freitas Oliveira,(51) 94302-1717,Priscila Oliveira Rocha,(51) 99444-7524
202500108,Sandra Cardoso Sousa,F,07/11/2016,sandra.sousa202500108@escola.edu.br,3B_EF1,Fernando Nascimento Brito,(11) 96438-5476,Lívia Farias Andrade,(71) 97553-8204
202500109,Débora Dias Ribeiro,F,16/12/2017,debora.ribeiro202500109@escola.edu.br,3B_EF1,Alexandre Farias Santana,(51) 92353-7955,Larissa Machado Pinto,(65) 93956-9937
202500110,Rafael Ferreira Rocha,M,15/05/2017,rafael.rocha202500110@escola.edu.br,3B_EF1,Francisco Guimarães Machado,(31) 98272-6759,Joana Oliveira Azevedo,(65) 96776-8126
202500111,Gabriel Rodrigues Cavalcante,M,17/06/2017,gabriel.cavalcante202500111@escola.edu.br,3B_EF1,Nicolás Cunha Costa,(11) 93339-8179,Camila Lima Rodrigues,(41) 97001-6933
202500112,Antônio Oliveira Pinto,M,15/11/2016,antonio.pinto202500112@escola.edu.br,3B_EF1,Alexandre Andrade Mendes,(48) 92259-3255,Renata Andrade Nunes,(61) 95566-5089
202500113,Beatriz Duarte Ribeiro,F,13/09/2017,beatriz.ribeiro202500113@escola.edu.br,3B_EF1,Luiz Pereira Sousa,(48) 95264-8311,Rafaela Moura Vieira,(47) 99047-4279
202500114,Matheus Mendes Ribeiro,M,26/02/2017,matheus.ribeiro202500114@escola.edu.br,3B_EF1,Cauã Rocha Cavalcante,(61) 92063-9882,Vitória Barbosa Costa,(47) 93852-6922
202500115,Lívia Martins Rezende,F,26/04/2016,livia.rezende202500115@escola.edu.br,3B_EF1,Fábio Santos Andrade,(85) 97044-8657,Tatiana Lima Moura,(21) 92077-6067
202500116,Davi Azevedo Cardoso,M,27/07/2017,davi.cardoso202500116@escola.edu.br,3B_EF1,Antônio Rodrigues Lima,(61) 92215-8372,Laura Cunha Santana,(61) 93102-3981
202500117,Manuela Machado Gonçalves,F,17/02/2016,manuela.goncalves202500117@escola.edu.br,3B_EF1,Rodrigo Barbosa Costa,(31) 96286-4694,Carolina Santana Vieira,(65) 92292-5105
202500118,Luiz Fernandes Lima,M,18/10/2017,luiz.lima202500118@escola.edu.br,3B_EF1,Felipe Gonçalves Borges,(31) 93526-3804,Isadora Moura Azevedo,(92) 96531-1674
202500119,Beatriz Ferreira Oliveira,F,07/11/2017,beatriz.oliveira202500119@escola.edu.br,3B_EF1,Samuel Campos Marques,(92) 91496-9159,Helena Teixeira Vieira,(62) 95949-8912
202500120,Cauã Nunes Barbosa,M,23/02/2017,caua.barbosa202500120@escola.edu.br,3B_EF1,Gabriel Costa Mendes,(71) 98933-8609,Rafaela Dias Pinto,(31) 96121-6231
202500121,Carolina Nunes Lima,F,18/09/2017,carolina.lima202500121@escola.edu.br,3B_EF1,Rafael Rocha Lopes,(81) 93007-5382,Joana Lopes Gomes,(21) 91829-5754
202500122,Bárbara Marques Lopes,F,19/06/2016,barbara.lopes202500122@escola.edu.br,3B_EF1,Murilo Rocha Martins,(48) 93610-9163,Patrícia Freitas Ramos,(51) 99148-1379
202500123,Caio Gonçalves Freitas,M,19/04/2016,caio.freitas202500123@escola.edu.br,3B_EF1,Ricardo Souza Souza,(51) 99108-8710,Vitória Teixeira Silva,(65) 92761-8060
202500124,Thiago Azevedo Andrade,M,02/06/2017,thiago.andrade202500124@escola.edu.br,3B_EF1,Caio Souza Campos,(85) 94189-6939,Tatiana Vieira Rodrigues,(71) 99261-8378
202500125,Vanessa Xavier Moura,F,04/03/2016,vanessa.moura202500125@escola.edu.br,3B_EF1,Caio Andrade Rezende,(61) 96990-3363,Priscila Pinto Gonçalves,(71) 99193-1659
202500126,Gustavo Guimarães Dias,M,15/09/2017,gustavo.dias202500126@escola.edu.br,3B_EF1,Rodrigo Pinto Gonçalves,(31) 96373-6218,Natália Nunes Moura,(47) 95902-6511
202500127,Patrícia Teixeira Ramos,F,27/08/2016,patricia.ramos202500127@escola.edu.br,4A_EF1,Pedro Andrade Dias,(62) 92795-7824,Viviane Barbosa Rezende,(47) 91436-8775
202500128,Ruan Rezende Brito,M,02/12/2015,ruan.brito202500128@escola.edu.br,4A_EF1,José Cardoso Costa,(85) 97229-3421,Alice Lopes Oliveira,(92) 92800-4125
202500129,Victor Marques Gomes,M,07/12/2016,victor.gomes202500129@escola.edu.br,4A_EF1,Igor Gonçalves Brito,(92) 98726-2020,Eduarda Lima Santana,(41) 96325-8837
202500130,Amanda Ribeiro Freitas,F,12/09/2016,amanda.freitas202500130@escola.edu.br,4A_EF1,Cauã Brito Azevedo,(62) 95331-8932,Priscila Lopes Fernandes,(85) 95890-4684
202500131,Yasmin Brito Vieira,F,23/12/2015,yasmin.vieira202500131@escola.edu.br,4A_EF1,Fábio Rocha Cardoso,(61) 95480-5715,Lívia Campos Cunha,(85) 97220-7464
202500132,Nathalia Farias Gomes,F,10/01/2016,nathalia.gomes202500132@escola.edu.br,4A_EF1,Davi Ferreira Nascimento,(81) 95201-8849,Rafaela Martins Xavier,(85) 95442-5450
202500133,Jorge Duarte Araújo,M,02/04/2015,jorge.araujo202500133@escola.edu.br,4A_EF1,Kaique Santana Almeida,(62) 94814-1860,Letícia Marques Dias,(47) 98739-2647
202500134,Manuela Silva Castro,F,21/07/2015,manuela.castro202500134@escola.edu.br,4A_EF1,Sérgio Cardoso Borges,(41) 95706-6262,Vitória Borges Souza,(48) 92465-4804
202500135,Rebeca Oliveira Ribeiro,F,02/03/2016,rebeca.ribeiro202500135@escola.edu.br,4A_EF1,Caio Rezende Ramos,(31) 95742-1613,Ana Barbosa Campos,(92) 92758-6489
202500136,Ruan Teixeira Santana,M,28/03/2016,ruan.santana202500136@escola.edu.br,4A_EF1,Danilo Freitas Fernandes,(41) 92845-6417,Natália Azevedo Freitas,(62) 95215-4050
202500137,Henrique Rezende Vieira,M,20/03/2015,henrique.vieira202500137@escola.edu.br,4A_EF1,Roberto Nunes Xavier,(71) 99442-6372,Larissa Nunes Cavalcante,(21) 94027-3303
202500138,Paulo Silva Sousa,M,15/04/2016,paulo.sousa202500138@escola.edu.br,4A_EF1,Yago Fernandes Dias,(51) 91187-5285,Valentina Andrade Monteiro,(41) 92017-2936
202500139,Daniel Nunes Cunha,M,04/12/2016,daniel.cunha202500139@escola.edu.br,4A_EF1,Roberto Vieira Andrade,(92) 94618-4590,Manuela Cardoso Gomes,(81) 97121-7813
202500140,Luana Melo Teixeira,F,22/04/2015,luana.teixeira202500140@escola.edu.br,4A_EF1,Yago Pinto Rezende,(21) 99609-8319,Renata Guimarães Andrade,(21) 92838-2011
202500141,Patrícia Martins Campos,F,11/03/2015,patricia.campos202500141@escola.edu.br,4A_EF1,Tiago Mendes Pereira,(62) 94365-9008,Larissa Gonçalves Mendes,(48) 91911-8429
